2022-12-15 17:23:50,541 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processed imports for of 2 contributors
2022-12-15 17:23:50,545 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Creating config data activation context from initial contributions
2022-12-15 17:23:50,545 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Processing config data environment contributors with initial activation context
2022-12-15 17:23:50,545 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports for phase BEFORE_PROFILE_ACTIVATION. [ConfigDataActivationContext@532a02d9 cloudPlatform = [null], profiles = [null]]
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processed imports for of 0 contributors
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Deducing profiles from current config data environment contributors
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataEnvironment - Processing config data environment contributors with profile activation context
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports for phase AFTER_PROFILE_ACTIVATION. [ConfigDataActivationContext@611f8234 cloudPlatform = [null], profiles = [Profiles@7bb3a9fe active = '[]', default = '[default]', accepted = '[default]']]
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports [optional:file:./;optional:file:./config/;optional:file:./config/*/]
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.yaml
2022-12-15 17:23:50,547 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.yml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.xml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application.properties
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.yaml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.yml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.xml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application.properties
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application-default.yaml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application-default.yml
2022-12-15 17:23:50,549 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application-default.xml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./application-default.properties
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application-default.yaml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application-default.yml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application-default.xml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource file:./config/application-default.properties
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Nothing imported
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataEnvironmentContributors - Processing imports [optional:classpath:/;optional:classpath:/config/]
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.yaml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.yml
2022-12-15 17:23:50,550 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/application.xml
2022-12-15 17:23:50,551 TRACE   org.springframework.boot.context.config.ConfigDataLocationResolver - Skipping missing resource classpath:/config/application.yaml
